,content,score
0,Working very slow,1
1,Love from Nepal Vikrant sir&whole team of sports tak,5
2,Kgf,5
3,Luv u vikrant sir,5
4,very nice sports tak,5
5,Very nice app,5
6,Good,5
7,Not able to find watch party,3
8,दयाडस 🙄डर डी दद्द द्द्द ddsds🤣drddfcdx 🙄इडफा स साठी,5
9,Nice app,5
10,App is not loading any comtent in my mobile... Just showing a white screen nothing else Pls. Solve this issue,3
11,Very good,5
12,Unemployment of the country given these people spaces in social platform. Unbelievable. (Wasted people here),1
13,Can't see watch party+ lags very much,1
14,Not working,1
15,Too much lag worst aap no scores live useless app,1
16,Best,5
17,Thi is good app,5
18,Vikrant gupta nalla hai,1
19,"App does not work . I opened ap no content appears atleast for 10 minutes, i have 150 mbps broadband connection.",2
20,App is good but becomes slowinsh on many more viewers situation hope it will be more good with time nice try,5
21,I am not able to download the app What is the reason?,1
22,There is too much bugs in the app. Now I am deleting the app!,1
23,Too clumsy not easy to fund things you are looking for,2
24,Good job!🤩,5
25,Poor,1
26,Jaberjast cricket aap,5
27,Very good commentary and app keep it up,5
28,Maza aaya,5
29,Good,3
30,Cricket ki pal pal ki jaankari ke liye ye Sabse best app hai aur maza bhi aata hai kyuki Vikrant Gupta jee bahut hi mast commentry karte hai!aap log bhi download lijiye sports tak aap,5
31,Very good and informative app and best sports app.,5
32,घटिया app. Don't waste ur data and time.,1
33,ऐप ठीक है लेकिन यह हर चीज के लिए बहुत सारे इंटरनेट डेटा का उपयोग करता है,1
34,"Very good app, where we can get sports information not of only cricket but other too.Love it",5
35,Very good,5
36,Very slow apps,1
37,Live streaming is too slow,2
38,Worst app.,1
39,Very slow worst app,1
40,Best sports app ever i saw,5
41,Need to improve,2
42,Slow and unreasonable,1
43,Nice,5
44,Good,5
45,"App is ok but it uses lot of intetnet data for videos. It should have options like it is in youtube for video ( 144, 240, 360 etc)",3
46,Excellent,5
47,Thank you,5
48,Bad,1
49,Very bad,1
50,Not good,2
51,Good.......very good,4
52,"New Version of App is really impressive, Good Working 👍🏻 keep it up...✌🏻😎",5
53,"Very good app, it has become after the latest updates , but still their is more need to improve precision and accuracy in ball by ball live scorecards, otherwise it is one of the best recommendable app to people , who want to read and access sports news.",4
54,Very good,5
55,Hanging problem,5
56,Negative infinity,1
57,Vikrant sir always Rock ...... Favourite sports journalist,5
58,Where is IPL match video.,1
59,Fake app isme cricket TV nhi h Ye sirf score h don't download,1
60,Fifa World Cup men 2022 ke baare me koi bhi update nahi hai . Point table bhi update nahi hai,2
61,Good,5
62,Overall very good app for sports live News on update well done ✅ 👍🥰🥰🥰,5
63,Great app.. just have one bug in yesterday's scorecard..yet to bat was same for lucknow & gujrat.,4
64,Good,5
65,Nice app,5
66,Very nice app 👍 keep it up 👍,5
67,BIG FAN OF SPORTS TAK .. SPECIFICALLY VIKRANT SIR .. I WATCH THIS SHOW EVERY DAY ON TV . BUT THIS APP DISAPPOINTED ME A LOT.. MASRAT K SATH KHENA PADH RHA HAI.. SPEACIALY WHEN U R PROMOTING THIS APP ON TV DAILY . DONT WANT TO RIGHT MUST BECZ U R OUR FAMILY ONLY.. BUT MUCH IMPROVMENT IS REQUIRED,1
68,👍🙏👍,5
69,😡😡😡,1
70,Yah aap me Fast Service Rakhe... Our Tweet Cricketer Ka Post Kare.......,5
71,Nice,5
72,very nice,1
73,Best app but want too much speed of internet to run the app,4
74,Something sensational Looking for,3
75,good application,5
76,Thard class बेकार app हे,1
77,Good,5
78,App very slow &,1
79,Supar,5
80,Fiijhhh,2
81,Vucuffg,5
82,Worst app,1
83,"Need to work a lot on interface and optimization, and ease of finding default options which should be easily available",1
84,Awesome..................,5
85,Superb analysis,5
86,Worst app,1
87,Bakcohd app hai,1
88,Very poor app...cricbuzz is way way ahead,1
89,Unuser frendly application. Need to be proper response after do something.,1
90,After new update or last update app is not working please fix that,1
91,"Excellent app, good work 👍👍👍",5
92,Ameging,5
93,😡🤬🤬😡🤬😡🤬😡🤬😡🤬🤐🤬,1
94,5 ⭐ star 🌠 because of vikrant sir,5
95,I love this huge fan of Vikrant gupta,5
96,Nice application but very slow application... please upgrade it,3
97,Wonderful app Vikrant sir is very good,5
98,Bad,1
99,Excellent 👍👍👍,5
100,Good,5
101,Good app,5
102,Very nyc aap,5
103,Ok,1
104,It was working fine but after last update not able to use it tried reinstalling also but now not being able to install also very disappointing,2
105,Worst👎 App,1
106,"Worst app , No use to download this app, waste of interest",1
107,Too much bug so please resolve.,2
108,Very slow,1
109,Good sport app,3
110,Excellent apps for cricket and other game. Nice presentation of data.,5
111,Needs improvement...,1
112,"Jyada loading ur slow running, Improvement ki jaroorat hai",1
113,Good,5
114,Mujhe press conference dekhni thi hai hi nhi,1
115,Excelent,5
116,Good,5
117,😡,1
118,Fabulous,5
119,Kabbadi ka schedule nhi dikha rha,1
120,Overall very good app. Just need to work on smooth loading of content.,5
121,"Please don't download this app, very bad bad application",1
122,Very nice app,5
123,Good App,5
124,Boring not showing live,1
125,UGC,5
126,Nice but not working properly li,5
127,Nyv,5
128,Worest app ever lanat ha vikrant guphta b like ye ap ne badi statement dade bt bakwas app 👎👎👎👎👎,1
129,Faltu app hai plis not downlode,1
130,very supar,5
131,Good but very slow process,5
132,Overall application is very good but developers need to work on the smoothness of UI interface.,4
133,Bad app,1
134,Awesome app for cricket lovers,5
135,Good,5
136,Good,5
137,Very nice app,5
138,Handsome men sports running shoes which one I have selected,5
139,"Languages option must be in English ,after download this language selection in other language which3 j dont know how choose language so plz do something needful.",1
140,Too good,5
141,Worst,1
142,Very slow needs an improvement,1
143,"I downloaded app only for ""live"" Video, but there is no option oh live video. Everything in app is ""empty"".😖😖🤬🤬",1
144,Here we see only points and not able to see the live match. And consume more internet,1
145,Very nice,5
146,Worst app...very slow not showing full score card,1
147,Very very very good app,1
148,1st time download : servers down 2nd time download : not able to open a single video Never installing again DONT DOWNLOAD...ITS A GARBAGE APP There is no option for less than 1 star....if it was there I would have definitely given negative ratings,1
149,Laura APP,1
150,Good,1
151,Like,5
152,Ss,5
153,Super ❤️,5
154,Too much internet consuming app and also have buffering problem.,2
155,Black colored background is not appealing,4
156,"Ask your developers to work on this pathetic, heavy, laggy, buggy app. Hyping it up on air won't make this more usable.",1
157,"Worst app ,, don't be downloaded",1
158,Good app,5
159,Good,5
160,Best App for sports,4
161,Wow,5
162,Yahan,5
163,Nice App,4
